Model,price,Link
Colorful GeForce GT710-2GD3-V 2GB Graphics Card,5200,https://www.startech.com.bd/colorful-geforce-gt710-2gd3-v-graphics-card
MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card,5300,https://www.startech.com.bd/msi-gt-710-2gd3h-lp-graphics-card
Gigabyte GT 710 2GB DDR3 Graphics Card,6200,https://www.startech.com.bd/gigabyte-gv-n710d3-2gl
GIGABYTE GeForce GT 710 2GB Graphics Card,6200,https://www.startech.com.bd/gigabyte-geforce-gt-710-2gb-graphics-card
OCPC GeForce GT 730 4GB DDR3 Graphics Card,6500,https://www.startech.com.bd/ocpc-geforce-gt-730-4gb-graphics-card
ASUS GeForce GT 710 2GB GDDR5 EVO Low-profile Graphics Card,6800,https://www.startech.com.bd/asus-geforce-gt-710-2gb-gddr5-evo-low-profile-graphics-card
Palit GeForce GT 1030 2GB DDR4 Graphics Card with No Warranty,9000,https://www.startech.com.bd/palit-geforce-gt-1030-graphics-card
Asus Geforce Gt 730 2GB GDDR5 Graphics Card,9300,https://www.startech.com.bd/asus-geforce-gt-730-2gb-gddr5-graphics-card
OCPC Radeon RX 550 4GB SE GDDR5 Graphics Card,9500,https://www.startech.com.bd/ocpc-radeon-rx-550-4gb-se-graphics-card
Colorful GeForce GT1030 V3 2GB Graphics Card,9700,https://www.startech.com.bd/colorful-geforce-gt1030-v3-graphics-card
Arktek GeForce GT 740 2GB GDDR5 Graphics Card,10000,https://www.startech.com.bd/arktek-geforce-gt740-2-gb-gddr5-graphics-card
Gigabyte GT 1030 2GB OC Graphics card,10200,https://www.startech.com.bd/gigabyte-ggt-1030-oc-2g
Gigabyte GeForce GT 1030 Low Profile 2GB DDR5 Graphics Card,10200,https://www.startech.com.bd/gigabyte-geforce-gt-1030-low-profile-graphics-card
ASUS GeForce GT 1030 2GB GDDR5 low Profile Graphics Card,10800,https://www.startech.com.bd/asus-geforce-gt-1030-graphics-card
MSI GeForce GT 1030 4GD4 LP OC 4GB Graphics Card,10500,https://www.startech.com.bd/msi-geforce-gt-1030-4gd4-lp-oc-4gb-graphics-card
PowerColor Red Dragon Radeon RX 550 4GB GDDR5 Graphics Card,11500,https://www.startech.com.bd/powercolor-red-dragon-radeon-rx-550-4gb-graphics-card
PELADN RX 580 8G 256Bit Dual Fans Gaming Graphics Card,13500,https://www.startech.com.bd/peladn-rx-580-8g-gaming-graphics-card
Asus Geforce GT 730 2GB GDDR5 Graphics Card with 4 HDMI Ports,15000,https://www.startech.com.bd/asus-gt-730-2gb-gddr5-graphics-card
PowerColor Fighter AMD Radeon RX 6500 XT 4GB GDDR6 Graphics Card,18999,https://www.startech.com.bd/powercolor-fighter-amd-radeon-rx-6500-xt-4gb-graphics-card
Colorful GeForce GTX 1650 EX 4GD6-V 4GB GDDR6 Graphic Card,19500,https://www.startech.com.bd/colorful-gtx-1650-ex-4gd6-v-4gb-graphic-card
